"","cue","coverage","H","unknown","xR2","xR3","N"
"56","accomplishment",91.2727272727273,4.00158216671853,2,4,11,300
"57","accord",76.8292682926829,3.89146967012104,11,4,13,300
"58","accordion",85.9106529209622,4.09435814650827,0,1,7,300
"59","account",90,4.0614568666168,0,2,6,300
"60","accountant",88.659793814433,3.91044352528268,2,0,3,300
"61","accounting",88.1944444444444,4.2196487263441,1,1,7,300
"62","accumulate",90.9407665505226,3.97563248690152,0,3,7,300
"63","accuracy",89.7163120567376,4.27338201010953,2,2,8,300
"64","accurate",93.0795847750865,3.86894553246059,0,2,7,300
"65","accusation",88.339222614841,4.2964747188929,1,4,6,300
"66","accuse",86.2815884476534,4.44781457883614,1,4,12,300
"67","ace",90,4.09732715838295,3,3,5,300
"68","ache",99.3079584775086,3.36800846883735,2,1,3,300
"69","achieve",92.6573426573427,4.09030176103984,0,3,8,300
"70","achievement",94.1379310344828,4.27845435963699,0,1,8,300
"71","achiever",81.8532818532819,4.3701365155954,1,13,12,300
"72","aching",94.7916666666667,3.82460682051337,0,3,6,300
"73","acid",84.5890410958904,4.22741441067412,0,1,6,300
"74","acidic",77.4744027303754,4.14314039457049,0,0,7,300
"75","acknowledge",92.5925925925926,4.4009395144695,2,3,18,300
"76","acne",87.4564459930314,3.77545782950431,2,2,3,300
"77","acorn",93.8775510204082,3.01909022161516,1,0,3,300
"78","acoustic",92.7335640138408,3.49065036464991,2,0,5,300
"79","acquaintance",88.2783882783883,3.74053523901847,3,4,10,300
"80","acquire",93.2862190812721,3.87560205641549,1,2,10,300
"81","acre",87.8892733564014,3.7535047794063,1,1,6,300
"82","acrid",96.3963963963964,3.89406506036522,19,6,9,300
"83","acrobat",88.5416666666667,3.81542818574879,0,0,12,300
"84","acrobatics",81.1188811188811,4.22836557458611,1,1,9,300
"85","acronym",68.695652173913,4.21282222251526,7,22,5,300
"86","across",85.8695652173913,4.36578012990198,3,1,13,300
"87","act",90.3448275862069,3.9932776181604,0,2,6,300
"88","acting",87.8048780487805,4.30591242801607,1,3,4,300
"89","action",86.6666666666667,4.48895611930885,1,2,8,300
"90","actions",66.9354838709677,4.4004991854734,2,15,16,300
"91","activate",88.8489208633094,4.01077399994986,2,4,8,300
"92","active",90.0684931506849,4.40771506646307,0,1,6,300
"93","activist",78.4386617100372,4.7381831916438,1,10,8,300
"94","activity",92.3636363636364,4.34928354166644,3,5,6,300
"95","actor",85.8131487889273,4.18446831164178,0,3,5,300
"96","actors",70,4.36732775022754,0,6,8,300
"97","actress",82.1917808219178,4.17685187789274,0,3,2,300
"98","actual",88.0597014925373,3.46209295152496,2,3,20,300
"99","actually",77.3946360153257,4.15791734770187,7,6,6,300
"100","acute",95.4545454545455,3.89220269277085,1,2,7,300
"101","ad",84.0148698884758,4.34916615005431,4,7,5,300
"102","Adam",79.2592592592593,3.19718938874709,2,8,8,300
"103","adapt",88.3211678832117,4.21436290233369,1,7,9,300
"104","add",95.53264604811,3.67160302161971,0,1,7,300
"105","added",70.9219858156028,3.92779835463853,1,3,9,300
"106","addict",91.958041958042,4.00977760389544,1,2,7,300
"107","addicted",87.2727272727273,4.08903862716114,0,9,7,300
"108","addiction",93.448275862069,3.94143277550215,0,2,6,300
"109","addictive",87.5444839857651,4.33576516927719,0,6,7,300
"110","addition",92.7083333333333,3.51601532823869,1,1,7,300
"111","additional",90.9090909090909,3.65655746616487,1,5,12,300
"112","additionally",87.7777777777778,3.5206030614369,2,5,14,300
"113","additive",76.9516728624535,4.26844667211181,4,5,9,300
"114","address",91.4089347079038,3.87540654442366,0,2,5,300
"115","adept",90.5138339920949,4.20489532018671,12,1,9,300
"116","adequate",86.8131868131868,4.02895601452895,4,3,9,300
"117","adhere",91.3207547169811,3.56804741837305,6,2,13,300
"118","adhesive",92.1146953405018,2.59316166934538,3,1,10,300
"119","adieu",78.5977859778598,3.35070372771602,5,2,10,300
"120","adjacent",90.5109489051095,3.7387157878332,3,3,11,300
"121","adjective",88.8888888888889,3.60969845060851,6,2,8,300
"122","adjourn",95.2755905511811,3.8012698756532,11,1,11,300
"123","adjust",90.1098901098901,4.2128583247222,3,3,12,300
"124","adjustment",88.768115942029,4.49960405127262,1,6,9,300
"125","administration",82.0338983050847,4.60220505486155,0,1,3,300
"126","administrator",83.3333333333333,4.37075756934394,2,9,12,300
"127","admirable",78.4232365145228,4.52701134654687,1,22,12,300
"128","admiral",86.5051903114187,3.70820367668847,0,3,5,300
"129","admiration",85.2589641434263,4.18197673658541,3,15,10,300
"130","admire",90.2255639097744,4.22329649034927,5,3,13,300
"131","admission",89.6797153024911,4.12304163043108,1,3,10,300
"132","admit",86.2962962962963,4.1670226546105,2,7,10,300
"133","adobe",81.6091954022989,3.8552326543302,10,1,7,300
"134","adolescence",92.0689655172414,3.82374066546474,0,4,2,300
"135","adolescent",89.5470383275261,3.94430119971409,2,0,7,300
"136","adopt",88.8475836431227,4.00218166254844,0,10,11,300
"137","adoption",90.1818181818182,4.07276231050524,0,5,15,300
"138","adorable",93.3797909407666,3.54320757032734,2,1,5,300
"139","adoration",90.1754385964912,3.9869887585418,0,3,9,300
"140","adore",90.9722222222222,3.75074975693378,0,3,6,300
"141","adored",76.4492753623188,3.91658290035683,0,6,12,300
"142","adorn",91.4634146341463,4.19510882002625,10,6,12,300
"143","adornment",82.8326180257511,4.0537697914964,12,11,9,300
"144","adrenal",59.3301435406699,3.53115198815865,17,16,8,300
"145","adrenaline",87.1186440677966,4.09066696587395,0,1,3,300
"146","ads",72.2627737226277,4.56048944569255,1,7,9,300
"147","adult",91.5750915750916,4.11042149028988,0,7,13,300
"148","adultery",92.1985815602837,4.27772680941759,1,4,7,300
"149","adults",84.8375451263538,4.01295912076989,0,4,15,300
"150","advance",90.8450704225352,4.2657448095588,2,1,8,300
"151","advanced",84.0989399293286,4.69779276829962,2,2,7,300
"152","advancement",90.4214559386973,4.1132037636069,0,14,11,300
"153","advantage",89.9253731343284,4.50802435403487,5,2,13,300
"154","adventure",90.3114186851211,4.72754661737558,1,1,6,300
"155","adventurer",80.9701492537313,4.72077829983005,0,10,12,300
"156","adventurous",87.0629370629371,4.63677003771084,1,2,7,300
"157","adverb",87.7697841726619,3.6500982050475,0,7,8,300
"158","adversary",91.0505836575876,3.58844579768817,10,2,9,300
"159","adversity",90.6137184115523,4.35117288199896,5,1,6,300
"160","advert",86.784140969163,4.07202429044922,8,23,3,300
"161","advertise",86.2542955326461,4.38681685355556,0,0,9,300
"162","advertisement",85.2112676056338,4.70617796156717,0,4,8,300
"163","advertising",80.4123711340206,4.68534488266491,1,0,6,300
"164","advice",94.9820788530466,4.50001270343981,0,5,11,300
"165","Advil",76.4957264957265,3.42412234058669,20,1,4,300
"166","advise",93.1654676258993,4.35040918627633,1,2,15,300
"167","advisor",86.7857142857143,4.16934999759952,2,0,14,300
"168","advocate",85.4545454545455,4.48592383011111,3,3,10,300
"169","aerobics",84.6153846153846,4.07442339088281,1,4,3,300
"170","aerosol",85.5513307984791,3.15456745358649,1,14,6,300
"171","aesthetics",87.9120879120879,3.97356412446254,4,5,5,300
"172","afar",88.8888888888889,3.8233855996593,5,7,10,300
"173","a few",73.5074626865672,3.93111805435859,1,8,13,300
"174","affair",89.247311827957,4.40344562262679,2,4,7,300
"175","affairs",82.051282051282,4.59213229405294,4,5,5,300
"176","affect",92.6640926640927,4.14614850470757,5,5,16,300
"177","affection",94.7183098591549,3.61863797668228,2,1,8,300
"178","affectionate",94.9152542372881,3.91748844187212,1,0,2,300
"179","affirm",86.8725868725869,4.37937469181358,9,2,10,300
"180","affirmative",89.8954703832753,3.78077631846027,0,1,11,300
"181","affluent",87.0689655172414,3.61876009710924,14,9,8,300
"182","afford",91.5789473684211,4.04127408131642,0,4,7,300
"183","affordable",85.8620689655173,3.80600453497431,0,3,4,300
"184","afraid",92.4657534246575,3.61830126734984,0,2,4,300
"185","Africa",87.3720136518771,4.33980627310038,1,1,2,300
"186","African",81.786941580756,4.40778630278789,1,0,6,300
"187","after",93.75,3.82867745933053,0,0,12,300
"188","afternoon",93.8144329896907,3.87162245258085,1,0,6,300
"189","aftershave",93.5483870967742,3.97899252049111,1,3,12,300
"190","afterwards",92.3664122137405,3.81711617990298,3,9,11,300
"191","again",87.9120879120879,3.86458258339845,2,3,15,300
"192","against",90.1754385964912,4.19141526199737,0,3,9,300
"193","age",87.1080139372822,4.2561271320392,0,2,9,300
"194","aged",91.0958904109589,3.75971160949851,1,1,3,300
"195","ageless",87.7470355731225,4.03582571949441,4,11,13,300
"196","agency",87.8892733564014,4.69823891653074,0,4,3,300
"197","agenda",91.726618705036,4.24204437847274,2,3,10,300
"198","agent",84.2657342657343,4.38476864044417,0,3,8,300
"199","ages",62.5,4.36000991023518,1,9,7,300
"200","aggravate",88.929889298893,3.91441960357527,4,3,11,300
"201","aggression",94.19795221843,4.27037885372617,1,1,2,300
"202","aggressive",90.4761904761905,4.53658964692869,0,1,4,300
"203","aghast",75.8928571428571,3.79081274770571,11,16,11,300
"204","agile",91.6666666666667,4.10426997480682,1,3,3,300
"205","agility",80.0738007380074,4.33103646396438,3,6,8,300
"206","aging",82.5783972125435,4.0578437268319,0,2,9,300
"207","agitate",89.010989010989,4.18788366748163,2,4,13,300
"208","agitated",82.4817518248175,3.93164310812791,0,9,8,300
"209","agnostic",77.6892430278884,4.27500791998592,6,8,15,300
"210","ago",89.8550724637681,3.34437580569362,0,6,12,300
"211","agony",93.4256055363322,3.61139715176304,2,1,3,300
"212","agree",86.3799283154122,4.29021265471901,0,4,13,300
"213","agreeable",78.6259541984733,4.14995280460443,1,12,11,300
"214","agreed",77.0676691729323,4.41887177349508,0,12,10,300
"215","agreement",87.7256317689531,4.25397032875563,1,4,12,300
"216","agriculture",89.7610921501707,3.7806742537342,0,2,3,300
"217","ahead",89.7887323943662,4.26111803509655,0,4,8,300
"218","ahoy",93.0147058823529,3.52559009894232,4,4,8,300
"219","aid",92.0962199312715,3.59042926512806,0,1,7,300
"220","aide",83.2618025751073,3.9696995062451,11,13,8,300
"221","aids",81.4685314685315,3.84091881518601,0,4,6,300
"222","ailment",92.8030303030303,3.37287200207818,8,2,8,300
"223","aim",95.3900709219858,3.5375812831823,1,4,7,300
"224","aimless",73.6842105263158,4.28035245260022,0,11,12,300
"225","air",97.6588628762542,3.94010700851042,0,0,1,300
"226","air conditioning",85.9106529209622,4.08545209867383,0,3,3,300
"227","aircraft",90.5084745762712,3.63115494784723,1,1,0,300
"228","air force",82.1917808219178,3.95137090702888,1,1,3,300
"229","airhead",81.7843866171004,4.11999631827952,4,5,9,300
"230","airless",87.3517786561265,4.02778094648396,2,15,11,300
"231","airline",86.8243243243243,4.04190141554287,0,0,4,300
"232","airplane",88.7755102040816,4.16785134011226,0,1,4,300
"233","airport",90.5594405594406,4.12453827618838,1,2,7,300
"234","airship",81.1023622047244,3.95246193183416,5,9,13,300
"235","airy",88,3.98816807826759,5,3,4,300
"236","aisle",91.044776119403,3.94645224965648,5,5,7,300
"237","alarm",93.1740614334471,4.00655186401455,0,0,7,300
"238","alas",60.8888888888889,4.19438159274923,9,15,18,300
"239","Alaska",83.2191780821918,3.86669013993647,0,2,4,300
"240","Albert",77.1186440677966,3.60935325190786,0,25,14,300
"241","album",93.2862190812721,3.39620325648424,0,4,9,300
"242","alchemy",83.6501901140685,3.62083408675937,4,8,9,300
"243","alcohol",93.1740614334471,3.99413297771277,0,2,3,300
"244","alcoholic",86.013986013986,4.45523424417406,1,2,7,300
"245","alcoholism",84.8056537102474,4.20692653924793,0,5,7,300
"246","ale",91.5789473684211,3.33021317168091,4,1,1,300
"247","alert",89.7610921501707,3.98446966827646,0,1,5,300
"248","algae",91.2587412587413,3.55076858263841,1,3,5,300
"249","algebra",84.7750865051903,3.931886794473,0,0,11,300
"250","algorithm",87.0967741935484,4.08710909763156,3,3,6,300
"251","alibi",90.6716417910448,4.07413616236289,5,4,9,300
"252","alien",83.7370242214533,4.04739238749995,1,1,6,300
"253","aliens",71.0884353741497,4.22859736969675,0,0,6,300
"254","align",89.1385767790262,4.28304009237746,4,6,9,300
"255","alike",87.7777777777778,3.39854680454124,2,5,14,300
"256","a little",73.9776951672863,3.57656369116737,1,8,12,300
"257","alive",92.9078014184397,4.08567155483043,2,2,8,300
"258","all",89.5470383275261,3.9801809612042,0,1,11,300
"259","allegiance",93.5251798561151,3.95541616964923,4,1,8,300
"260","allergic",80.6779661016949,4.2576403276806,0,1,3,300
"261","allergies",83.7931034482759,4.19971518927938,1,1,5,300
"262","allergy",84.0136054421769,4.17855783563818,0,1,4,300
"263","alley",84.7517730496454,3.92571246683461,0,3,12,300
"264","alliance",88.0701754385965,4.42592235492006,2,2,5,300
"265","alligator",90.6896551724138,3.63629067963851,1,2,3,300
"266","allow",93.4865900383142,3.60135219065781,0,12,15,300
"267","allowance",86.3799283154122,3.70512742476788,0,3,15,300
"268","allowed",88.1040892193308,4.01968315687444,1,6,16,300
"269","alloy",90.7258064516129,3.36414574717937,9,8,9,300
"270","allspice",90.7894736842105,4.11520737891241,20,4,4,300
"271","allure",85.59670781893,4.3600211163874,8,10,13,300
"272","ally",88.5416666666667,3.86495613396204,2,0,6,300
"273","almanac",84.5018450184502,4.08218987926007,4,5,7,300
"274","almighty",84.8056537102474,3.55357089593785,0,5,7,300
"275","almond",91.7808219178082,3.91314686946168,1,1,3,300
"276","almonds",83.4507042253521,3.96414866199953,0,5,6,300
"277","almost",81.25,3.60809456106079,0,1,10,300
"278","aloe",71.1678832116788,3.1927618949792,5,4,3,300
"279","alone",93.2835820895522,3.98291477944468,2,5,16,300
"280","along",92.962962962963,3.87742402938102,2,7,10,300
"281","alongside",89.5306859205776,3.95496717457647,1,7,6,300
"282","aloof",88.212927756654,4.51144473803538,9,1,8,300
"283","alot",82.7102803738318,4.19871516031204,18,11,10,300
"284","a lot",91.0714285714286,3.71488844717794,0,7,6,300
"285","aloud",83.4677419354839,4.29404530149134,3,16,11,300
"286","alpha",92.1232876712329,3.34993565967247,1,2,1,300
"287","alphabet",87.0175438596491,3.69241691775033,1,2,8,300
"288","Alpine",87.2791519434629,3.87178498537112,3,3,2,300
"289","Alps",82.8467153284672,3.14162468154275,3,5,7,300
"290","already",85.5018587360595,3.80144628524258,3,3,16,300
"291","alright",89.6193771626298,3.47819692135779,0,1,9,300
"292","also",86.0377358490566,3.48452357287162,3,8,10,300
"293","altar",93.5153583617747,3.72927909652957,1,0,4,300
"294","alter",91.6058394160584,3.81458538006243,2,5,10,300
"295","alteration",84.8837209302326,3.77551662163428,2,13,10,300
"296","alternate",87.2791519434629,4.17898833327692,1,3,8,300
"297","alternative",90.1754385964912,4.03217600232704,0,2,11,300
"298","alternatively",86.6935483870968,4.11929351408116,8,6,16,300
"299","although",87.984496124031,4.11866106555583,5,7,13,300
"300","altitude",90.3780068728522,3.4066605225217,1,0,6,300
"301","alto",91.1646586345382,3.53144216702505,12,4,7,300
"302","altruism",81.1538461538462,4.46755372743007,10,3,4,300
"303","altruistic",85.655737704918,4.11406360419869,10,10,6,300
"304","aluminum",93.7282229965157,3.63565634701716,0,4,5,300
"305","alumni",89.247311827957,3.87396757394269,2,2,11,300
"306","Alvin",65.24064171123,3.15108240740806,9,37,12,300
"307","always",83.3935018050541,3.86967308100533,0,7,9,300
"308","am",76.3837638376384,3.63790448909738,0,10,9,300
"309","amass",90.1345291479821,3.74082894216053,11,19,6,300
"310","amateur",84.3971631205674,4.5121483939289,0,2,14,300
"311","amaze",92.7536231884058,4.04283281849447,2,7,4,300
"312","amazement",85.5123674911661,4.10587312481899,2,1,9,300
"313","amazing",95.0704225352113,4.02028766235443,1,3,7,300
"314","Amazon",87.5,3.80566091636602,0,2,8,300
"315","ambassador",81.8518518518518,4.27235108705367,0,11,8,300
"316","amber",88.135593220339,4.39121295196561,0,1,3,300
"317","ambiance",96.1832061068702,3.91554902901495,6,5,10,300
"318","ambient",90.6015037593985,4.20096650870449,7,3,7,300
"319","ambiguous",83.6,4.25890622947006,10,5,10,300
"320","ambition",93.2624113475177,4.43340310450166,1,2,11,300
"321","ambitious",80.7547169811321,4.86827125221332,0,11,13,300
"322","amble",79.7413793103448,3.57813695024605,20,2,4,300
"323","ambulance",87.3287671232877,3.81076093468275,1,1,3,300
"324","ambush",89.8954703832753,4.27794574209402,0,1,11,300
"325","amen",88.4615384615385,3.58113645132211,0,5,4,300
"326","amend",86.0902255639098,3.73725010702394,2,8,12,300
"327","America",76.2886597938144,4.41318034694136,1,1,4,300
"328","American",86.551724137931,4.73083222449357,0,4,2,300
"329","Americans",78.9855072463768,4.85606121327973,1,5,11,300
"330","amiable",83.5341365461847,3.42760598941023,11,6,6,300
"331","amid",88.7550200803213,3.66442257194654,8,7,13,300
"332","amino acid",81.3492063492064,3.92937390128963,3,15,9,300
"333","ammo",83.0935251798561,3.72230287119086,6,0,4,300
"334","ammunition",77.4193548387097,3.75552760180229,0,6,9,300
"335","amoeba",79.1044776119403,4.30603672621429,6,3,8,300
"336","amok",81.2244897959184,4.12054513787121,7,10,14,300
"337","among",88.4758364312268,3.73690990360272,3,5,12,300
"338","amongst",90.5660377358491,3.73080557954651,1,12,8,300
"339","amorphous",63.0434782608696,4.41064746848021,25,14,13,300
"340","amount",92.2794117647059,3.88767028372018,0,8,12,300
"341","amp",84.375,3.86628412516704,12,3,2,300
"342","amphibian",92.057761732852,3.22848859427432,4,1,9,300
"343","ample",92.7756653992395,4.00469868845557,4,4,17,300
"344","amplifier",86.1111111111111,3.66370503093595,0,2,8,300
"345","amplify",78.7985865724382,3.92842965448816,2,3,5,300
"346","amuse",91.1347517730496,3.62038515874678,0,5,8,300
"347","amusement",92.0962199312715,3.49944625599156,0,3,3,300
"348","amusing",89.5470383275261,3.51370264961573,0,2,9,300
"349","an",92.9411764705882,3.94103368009435,8,6,9,300
"350","anagram",76.890756302521,4.20802891571519,6,17,10,300
"351","anal",74.2957746478873,4.02811157593894,1,1,11,300
"352","analog",86.3468634686347,3.7552486199091,2,7,9,300
"353","analogy",85.8974358974359,3.80454383271093,6,17,14,300
"354","analysis",90.7849829351536,4.77419604067511,1,1,2,300
"355","analyst",90.8366533864542,4.5616471698018,2,17,9,300
"356","analytical",87.8228782287823,4.5007602149141,2,10,3,300
"357","analyze",91.5492957746479,4.68050120725133,1,1,11,300
"358","anarchist",71.2121212121212,4.65375158713533,4,7,10,300
"359","anarchy",84.2857142857143,4.37051018179431,3,1,9,300
"360","anatomy",86.3481228668942,3.84151920272856,1,0,4,300
"361","ancestor",86.7595818815331,4.09886970869279,1,2,6,300
"362","ancestors",78.6713286713287,4.06015436266908,0,4,6,300
"363","ancestry",85.6655290102389,3.89123781024148,0,2,3,300
"364","anchor",90.8474576271186,3.84959932028697,0,1,3,300
"365","anchovy",93.0555555555556,2.93907452170427,0,4,4,300
"366","ancient",87.8571428571429,3.75561559957536,1,4,9,300
"367","and",92.6056338028169,3.54041901042397,0,4,8,300
"368","android",82.6086956521739,3.31909198635587,0,10,4,300
"369","anecdote",88.663967611336,3.70512739543052,7,11,10,300
"370","anemia",78.7878787878788,3.70441601327813,6,7,4,300
"371","anew",80.2631578947368,3.63698812067473,12,12,12,300
"372","angel",91.4675767918089,4.03698223658328,1,0,4,300
"373","angelic",91.8088737201365,4.06311641669269,0,2,3,300
"374","angels",80.2013422818792,3.78243343880525,0,0,2,300
"375","anger",90.8127208480565,4.12522871195182,2,2,7,300
"376","angle",90.2777777777778,4.02778043523159,0,3,6,300
"377","angled",74.4094488188976,4.40797052650821,2,13,14,300
"378","angles",75.0902527075812,4.13766144044124,0,6,11,300
"379","angry",90.2439024390244,3.95403119025673,1,1,8,300
"380","angst",92.8571428571429,4.38348336552631,8,0,10,300
"381","anguish",94.1818181818182,3.83508249774868,4,3,7,300
"382","animal",92.1232876712329,4.26151335098839,0,1,6,300
"383","animals",89.7959183673469,4.31603720784888,0,1,4,300
"384","animate",82.4817518248175,4.11052032596366,1,8,7,300
"385","animation",79.020979020979,3.90067826766035,0,3,8,300
"386","anime",86.4541832669323,3.3737662498145,14,0,7,300
"387","ankle",91.1971830985916,3.58301754964224,2,1,8,300
"388","annihilate",87.9003558718861,3.83010535748695,4,2,3,300
"389","anniversary",94.0350877192982,3.86209200400366,3,1,4,300
"390","announce",90.8450704225352,4.53788482676584,0,3,10,300
"391","announcement",82.6714801444043,4.28724972631741,0,5,13,300
"392","annoy",92.3636363636364,4.45909909694462,3,4,8,300
"393","annoyance",81.549815498155,4.75393203091662,1,8,10,300
"394","annoyed",84.8708487084871,4.09539583199055,0,7,15,300
"395","annoying",84.8920863309353,4.76886230901857,1,6,7,300
"396","annual",88.8501742160279,4.07655036060114,0,2,9,300
"397","annually",88.2562277580071,3.88189234314847,0,6,7,300
"398","anonymous",81.3953488372093,4.15495171468203,9,4,7,300
"399","anorexia",80.8080808080808,3.7385565928263,0,0,3,300
"400","another",90.5454545454545,4.00508337788491,2,3,13,300
"401","answer",96.8965517241379,3.58632112122675,0,2,6,300
"402","answers",76.5124555160142,3.88237483075773,1,5,6,300
"403","ant",92.7835051546392,4.09101899356883,0,3,3,300
"404","Antarctic",82.1052631578947,3.30921198195315,0,5,5,300
"405","anteater",93.1451612903226,3.87895951822401,9,8,9,300
"406","antecedent",80.2030456852792,3.75127773645887,27,4,14,300
"407","antelope",92.9577464788732,3.86582655864472,3,1,5,300
"408","antenna",74.5762711864407,3.89251746765277,1,0,2,300
"409","anterior",88.0184331797235,4.02374526229249,21,5,10,300
"410","anthem",91.4590747330961,3.60754015877821,2,1,11,300
"411","anthill",86.9565217391304,4.18134133891217,5,11,10,300
"412","anthropology",85.2272727272727,4.05469167143392,3,10,7,300
"413","anti",80.4511278195489,3.99712568385594,2,9,10,300
"414","antibiotic",82.7464788732394,3.95006443013001,0,6,4,300
"415","antibiotics",81.1188811188811,4.14046885586879,0,3,8,300
"416","anticipate",87.7256317689531,4.43581010377794,1,5,10,300
"417","anticipation",89.5104895104895,4.12505850703522,1,3,5,300
"418","antidote",92.1232876712329,3.61137146307672,0,1,6,300
"419","antiquated",78.6561264822134,3.532370426459,8,8,7,300
"420","antique",92.5170068027211,3.59412721833642,0,2,2,300
"421","antiques",85.3479853479853,3.82489898439166,1,6,12,300
"422","antiseptic",85.121107266436,4.02953435840179,1,3,2,300
"423","antisocial",86.8613138686131,4.36344764817173,0,8,10,300
"424","antler",93.9716312056738,3.54510716577616,2,4,4,300
"425","antlers",95.0877192982456,3.42710138717478,3,1,4,300
"426","ants",88.135593220339,4.35952637347759,0,1,3,300
"427","anus",77.6556776556777,3.60530463818895,1,9,6,300
"428","anvil",87.5457875457875,3.82939913885912,7,1,4,300
"429","anxiety",94.4055944055944,4.03793527613526,0,3,8,300
"430","anxious",87.956204379562,3.87406619609258,3,1,15,300
"431","any",91.0394265232975,3.68920082398948,0,4,13,300
"432","anybody",92.0289855072464,3.86763356124537,0,7,10,300
"433","anyone",89.3772893772894,3.92264446392494,1,6,12,300
"434","anything",91.4179104477612,3.87987325612423,4,3,14,300
"435","anytime",87.5886524822695,3.82059634389106,1,2,11,300
"436","anyway",73.3840304182509,4.46890266919695,5,6,10,300
"437","anywhere",85.1985559566787,3.77258192154632,0,5,13,300
"438","aorta",90.0398406374502,2.75002509642795,8,9,7,300
"439","apache",88.0733944954129,3.78397398031201,13,14,15,300
"440","apart",82.0422535211268,3.9336907970735,1,4,5,300
"441","apartheid",79.8507462686567,3.80383612705912,6,4,6,300
"442","apartment",91.7241379310345,4.02893203013921,1,1,5,300
"443","apartments",67.1480144404332,4.46317781595701,0,8,7,300
"444","apathetic",79.0123456790123,4.37997371085007,10,10,7,300
"445","apathy",78.1746031746032,4.84159498759249,11,2,11,300
"446","ape",93.127147766323,3.59220146066823,0,2,5,300
"447","apes",68.9285714285714,3.77890982259686,0,6,8,300
"448","apex",93.9759036144578,3.41958276242498,9,5,14,300
"449","aphrodisiac",77.9411764705882,3.88550633081837,4,2,12,300
"450","apocalypse",77.0034843205575,4.1262857470181,1,3,4,300
"451","apologize",89.2592592592593,3.77162641788882,3,6,9,300
"452","apology",89.9641577060932,3.76843142472908,1,5,8,300
"453","apostle",72.65625,3.83127187455624,7,7,9,300
"454","app",91.0714285714286,3.63390756557758,1,4,9,300
"455","apparel",92.8571428571429,3.65999083304046,3,3,5,300
